InputSize,S,AverageComparisons,AverageTime
200,108,5099,0.000000
200,109,5129,0.000000
200,110,5312,0.000000
200,111,5188,0.000000
200,112,5168,0.000000
200,113,5247,0.000000
200,114,5025,0.000000
200,115,5213,0.000000
200,116,4960,0.000000
200,117,4911,0.000000
200,118,5140,0.000000
200,119,5209,0.000000
200,120,5016,0.000000
200,121,5195,0.000000
200,122,5073,0.000000
200,123,5064,0.000000
200,124,5376,0.000000
200,125,5033,0.000000
200,126,5300,0.000000
200,127,4993,0.000000
200,128,5081,0.000000
400,1,2954,0.000000
400,2,2887,0.000000
400,3,2819,0.000000
400,4,2809,0.000000
400,5,2814,0.000000
400,6,2813,0.000000
400,7,2790,0.000000
400,8,2803,0.000000
400,9,2809,0.000000
400,10,2802,0.000000
400,11,2831,0.000000
400,12,2937,0.000000
400,13,3084,0.000000
400,14,3103,0.000000
400,15,3103,0.000000
400,16,3074,0.000000
400,17,3028,0.000000
400,18,3089,0.000000
400,19,3074,0.000000
400,20,3095,0.000000
400,21,3137,0.000000
400,22,3064,0.000000
400,23,3111,0.000000
400,24,3101,0.000000
400,25,4032,0.000000
400,26,3943,0.000000
400,27,3875,0.000000
400,28,3889,0.000000
400,29,4057,0.000000
400,30,3993,0.000000
400,31,3983,0.000000
400,32,3851,0.000000
400,33,3844,0.000000
400,34,3962,0.000000
400,35,3981,0.000000
400,36,3997,0.000000
400,37,4038,0.000000
400,38,3962,0.000000
400,39,3988,0.000000
400,40,4084,0.000000
400,41,3947,0.000000
400,42,3891,0.000000
400,43,3960,0.000000
400,44,4026,0.000000
400,45,3864,0.000000
400,46,3997,0.000000
400,47,4012,0.000000
400,48,3993,0.000000
400,49,3972,0.000000
400,50,6272,0.005333
400,51,5961,0.000000
400,52,6040,0.000000
400,53,6148,0.000000
400,54,6088,0.000000
400,55,5949,0.000000
400,56,6045,0.000000
400,57,6148,0.000000
400,58,6152,0.000000
400,59,6138,0.000000
400,60,6079,0.000000
400,61,6155,0.000000
400,62,6050,0.000000
400,63,5853,0.000000
400,64,5906,0.000000
400,65,6100,0.000000
400,66,5997,0.000000
400,67,6088,0.000000
400,68,6168,0.000000
400,69,6183,0.000000
400,70,6056,0.000000
400,71,5938,0.000000
400,72,5908,0.000000
400,73,6037,0.000000
400,74,5927,0.000000
400,75,5979,0.000000
400,76,6245,0.000000
400,77,6155,0.000000
400,78,6220,0.000000
400,79,6069,0.000000
400,80,5943,0.000000
400,81,6169,0.000000
400,82,6061,0.000000
400,83,6210,0.000000
400,84,6105,0.000000
400,85,6054,0.000000
400,86,5910,0.000000
400,87,6084,0.000000
400,88,6138,0.000000
400,89,6152,0.000000
400,90,5980,0.000000
400,91,6018,0.000000
400,92,6001,0.000000
400,93,5904,0.000000
400,94,6134,0.000000
400,95,6070,0.000000
400,96,6001,0.000000
400,97,6049,0.000000
400,98,6229,0.000000
400,99,5960,0.000000
400,100,10508,0.000000
400,101,10630,0.000000
400,102,11017,0.000000
400,103,10503,0.000000
400,104,11107,0.000000
400,105,10457,0.000000
400,106,10295,0.000000
400,107,10375,0.000000
400,108,10728,0.000000
400,109,10878,0.000000
400,110,10269,0.000000
400,111,10620,0.000000
400,112,11055,0.000000
400,113,10559,0.000000
400,114,10718,0.000000
400,115,10873,0.000000
400,116,10854,0.000000
400,117,10799,0.000000
400,118,11129,0.000000
400,119,10580,0.000000
400,120,10704,0.000000
400,121,10383,0.000000
400,122,10533,0.000000
400,123,10968,0.000000
400,124,10346,0.000000
400,125,10615,0.000000
400,126,10753,0.000000
400,127,10731,0.000000
400,128,10483,0.000000
800,1,6728,0.000000
800,2,6562,0.000000
800,3,6460,0.000000
800,4,6417,0.000000
800,5,6418,0.000000
800,6,6389,0.000000
800,7,6413,0.000000
800,8,6401,0.000000
800,9,6442,0.000000
800,10,6426,0.000000
800,11,6418,0.000000
800,12,6648,0.000000
800,13,7043,0.000000
800,14,6938,0.000000
800,15,6988,0.000000
800,16,6996,0.000000
800,17,6950,0.000000
800,18,6985,0.000000
800,19,6988,0.000000
800,20,6986,0.000000
800,21,7048,0.000000
800,22,7011,0.005000
800,23,6989,0.000000
800,24,6972,0.000000
800,25,8784,0.000000
800,26,8646,0.000000
800,27,8774,0.000000
800,28,8730,0.000000
800,29,8800,0.000000
800,30,8797,0.000000
800,31,8853,0.000000
800,32,8706,0.000000
800,33,8697,0.000000
800,34,8725,0.000000
800,35,8721,0.000000
800,36,8714,0.000000
800,37,8789,0.000000
800,38,8721,0.000000
800,39,8778,0.000000
800,40,8615,0.000000
800,41,8718,0.000000
800,42,8759,0.000000
800,43,8729,0.000000
800,44,8712,0.000000
800,45,8729,0.000000
800,46,8594,0.000000
800,47,8584,0.000000
800,48,8689,0.000000
800,49,8713,0.000000
800,50,13040,0.000000
800,51,12883,0.000000
800,52,13014,0.000000
800,53,12904,0.000000
800,54,12819,0.000000
800,55,13056,0.000000
800,56,13025,0.000000
800,57,12822,0.000000
800,58,13032,0.000000
800,59,12867,0.000000
800,60,12951,0.000000
800,61,12920,0.000000
800,62,12759,0.000000
800,63,12856,0.000000
800,64,13039,0.000000
800,65,13149,0.000000
800,66,12971,0.000000
800,67,12841,0.000000
800,68,12817,0.000000
800,69,12951,0.000000
800,70,13011,0.000000
800,71,13117,0.000000
800,72,12893,0.000000
800,73,13167,0.000000
800,74,12959,0.000000
800,75,12990,0.000000
800,76,12858,0.000000
800,77,13160,0.000000
800,78,12934,0.000000
800,79,12828,0.000000
800,80,12889,0.000000
800,81,12920,0.000000
800,82,13053,0.000000
800,83,12939,0.000000
800,84,13322,0.005333
800,85,12920,0.000000
800,86,13201,0.000000
800,87,12886,0.000000
800,88,12840,0.000000
800,89,12654,0.000000
800,90,12910,0.000000
800,91,12834,0.000000
800,92,12816,0.000000
800,93,12897,0.000000
800,94,12669,0.000000
800,95,12869,0.000000
800,96,12752,0.000000
800,97,12858,0.000000
800,98,13052,0.000000
800,99,12996,0.000000
800,100,22028,0.000000
800,101,22330,0.000000
800,102,21639,0.000000
800,103,21849,0.000000
800,104,22244,0.000000
800,105,22443,0.000000
800,106,21780,0.000000
800,107,22172,0.000000
800,108,22589,0.000000
800,109,22590,0.000000
800,110,22449,0.000000
800,111,22067,0.000000
